a : 			eyk
ascending : 	a.##chaRhta hu'a&nbsp;/&nbsp;faraaz&nbsp;/&nbsp;ubharta hu'a
ascension : 	n.##chaRhaa'o&nbsp;/&nbsp;rafat&nbsp;/&nbsp;iruuj
ascent : 		n.##chaRhaa'i&nbsp;/&nbsp;faraaz&nbsp;/&nbsp;iruuj&nbsp;/&nbsp;uThaan
ascertain : 	n.##maluum karna&nbsp;/&nbsp;muiyan karna&nbsp;/&nbsp;saabit karna
ascertainment :  	n.##asbaat&nbsp;/&nbsp;dar yaaft&nbsp;/&nbsp;taeHqiiq&nbsp;/&nbsp;tayaqqun
ascetic : 	a.##baeraagi&nbsp;/&nbsp;jogi&nbsp;/&nbsp;naasik&nbsp;/&nbsp;zaahid
asceticism : 	n.##baeraagi
ascribe : 	v.t.##mansuub karna&nbsp;/&nbsp;thopna&nbsp;/&nbsp;toHmat lagaana
asexual : 	a.##laa jinsi
ash : 		n.##raakh&nbsp;/&nbsp;KHaak
ashamed : 	a.##KHajil&nbsp;/&nbsp;maeHjuub&nbsp;/&nbsp;naadim&nbsp;/&nbsp;paSHeymaan&nbsp;/&nbsp;SHarm saar&nbsp;/&nbsp;SHarmindah
ashes : 		n.##KHaakistar(m.)
aside : 		adv.##bah kinaar&nbsp;/&nbsp;juda gaanah&nbsp;/&nbsp;yak su		n.##kaana phuuni&nbsp;/&nbsp;khus phusi
asinine : 	a.##aeHmqa&nbsp;/&nbsp;bey waquuf&nbsp;/&nbsp;DhiiT&nbsp;/&nbsp;gadha&nbsp;/&nbsp;ghaamaR
ask : 		v.t.##kaehna&nbsp;/&nbsp;maangna&nbsp;/&nbsp;puuchhna&nbsp;/&nbsp;sawaal karna
ask for : 		maangna
asking : 		n.##sawaal
askew : 		a.##kaj&nbsp;/&nbsp;TeyRha&nbsp;/&nbsp;tirchha
asleep : 		a.##GHaafil&nbsp;/&nbsp;soya hu'a
asp : 		n.##afi
asparagus : 	n.##maar chob
aspect : 		n.##buSHra&nbsp;/&nbsp;ha'iyyat&nbsp;/&nbsp;janbah&nbsp;/&nbsp;paehlu&nbsp;/&nbsp;rang&nbsp;/&nbsp;ruKH&nbsp;/&nbsp;SHakl&nbsp;/&nbsp;talaat
asperse : 	v.t.##bad naam karna&nbsp;/&nbsp;ehaanat aameyzi karna&nbsp;/&nbsp;hattak e izzat karna
asperity : 	a.##kaRwaahaT&nbsp;/&nbsp;SHiddat&nbsp;/&nbsp;talKHi&nbsp;/&nbsp;teyzi&nbsp;/&nbsp;turSHi	
aspersion : 	n.##iftira&nbsp;/&nbsp;tauhiin
aspirant : 	n.##aarzu mand&nbsp;/&nbsp;ummiid waar
aspiration : 	n.##aarzu&nbsp;/&nbsp;SHauq&nbsp;/&nbsp;tamanna&nbsp;/&nbsp;umang
aspire : 		v.i.##aarzu rakhna&nbsp;/&nbsp;SHauq hona
ass : 		n.##gadha
assail : 		v.t.##Hamlah karna
assailant : 	n.##Hamlah aawar
assassin : 	n.##HaSHiSHiin&nbsp;/&nbsp;qaatil
assassinate : 	v.t.##qatl karna
assassination : 	n.##qatl
assault : 	v.t.##DapaTna&nbsp;/&nbsp;dhaawa karna&nbsp;/&nbsp;Hamlah karna&nbsp;/&nbsp;waar karna							
assault : 	n.##chaRhaa'i&nbsp;/&nbsp;DapaT(f.)&nbsp;/&nbsp;dast daraazi&nbsp;/&nbsp;dhaawa(m.)&nbsp;/&nbsp;Hamlah(m.)&nbsp;/&nbsp;Harbah(m.)&nbsp;/&nbsp;maar dhaaR(f.)&nbsp;/&nbsp;waar(m.)&nbsp;/&nbsp;yuuriSH(f.)
assaulting : 	n.##zad o kob(f.)
assemblage : 	n.##ijtemaa(m.)&nbsp;/&nbsp;jamiiat&nbsp;/&nbsp;majma(m.)
assembled : 	a.##jama
assembly : 	n.##anjuman(f.)&nbsp;/&nbsp;bazm(f.)&nbsp;/&nbsp;jhuumar(m.)&nbsp;/&nbsp;maeHfil(f.)&nbsp;/&nbsp;majma(m.)
assent : 		n.##haami(f.)&nbsp;/&nbsp;marzi(f.)&nbsp;/&nbsp;qubuuliyat(f.)&nbsp;/&nbsp;raza mandi(f.)
assert : 		v.t.##elaan karna&nbsp;/&nbsp;kaehna&nbsp;/&nbsp;tasdiiq karna&nbsp;/&nbsp;zor deyna&nbsp;/&nbsp;zom karna
assertion : 	n.##elaan&nbsp;/&nbsp;tasdiiq&nbsp;/&nbsp;zom&nbsp;/&nbsp;zor
assertiveness : 	n.##zor bandi
asses : 		v.t.##andaazah lagaana
assessment : 	n.##maaliyat(f.)&nbsp;/&nbsp;SHaraH(f.)
asset : 		n.##jaa'edaad&nbsp;/&nbsp;maujuudaat&nbsp;/&nbsp;sar maayah
assets : 		n.##maal(m.)
asseverate : 	v.t.##jiddi taur par izhaar karna&nbsp;/&nbsp;tasriiH karna
asseveration : 	n.##izhaar e jiddi
assiduous : 	a.##an thak&nbsp;/&nbsp;meHnti&nbsp;/&nbsp;munhamik&nbsp;/&nbsp;saabit qadam&nbsp;/&nbsp;sai karney waala
assiduousness : 	n.##dhuuni
assiduously : 	adv.##baRi dhun sey&nbsp;/&nbsp;ji laga kar
assign : 		v.t.##deyna
assignee : 	n.##kaar kun(m.)&nbsp;/&nbsp;muKHtaar(m.)
assignment : 	n.##intisaab&nbsp;/&nbsp;taeHwiil
assimilate : 	v.t.##jazb karna&nbsp;/&nbsp;yak jaan karna
assimilative : 	a.##haazim&nbsp;/&nbsp;hazm aawar
assist : 		v.t.##madad karna&nbsp;/&nbsp;moaawinat karna&nbsp;/&nbsp;sanbhaalna
assistance : 	n.##dast giiri&nbsp;/&nbsp;imdaad&nbsp;/&nbsp;madad(f.)&nbsp;/&nbsp;palla&nbsp;/&nbsp;sahaara&nbsp;/&nbsp;taa'id&nbsp;/&nbsp;yaawari
assistant : 	n.##moaawin&nbsp;/&nbsp;madad gaar&nbsp;/&nbsp;naa'eb&nbsp;/&nbsp;zahiir
associate : 	n.##Haliif&nbsp;/&nbsp;ham naSHiin&nbsp;/&nbsp;Hawaari&nbsp;/&nbsp;rafiiq&nbsp;/&nbsp;saajhi&nbsp;/&nbsp;saathi&nbsp;/&nbsp;SHariik&nbsp;/&nbsp;zahiir
associated : 	a.##SHaamil&nbsp;/&nbsp;SHariik
association : 	n.##anjuman&nbsp;/&nbsp;intrisaab&nbsp;/&nbsp;saajha&nbsp;/&nbsp;soHbat
assorted : 	a.##pach meyl
assuage : 	v.t.##dam dilaasah deyna&nbsp;/&nbsp;kam karna&nbsp;/&nbsp;pighlaana
assuage : 	v.i.##kam hona&nbsp;/&nbsp;pighalna
assume : 		v.t.##farz karna&nbsp;/&nbsp;maanna
assumed : 	a.##farzi
assumption : 	a.##GHuruur&nbsp;/&nbsp;KHud biini&nbsp;/&nbsp;mafruuzah
assurance : 	n.##yaqiin&nbsp;/&nbsp;yaqiin dihaani&nbsp;/&nbsp;zamaanat
assure : 		v.t.##yaqiin dilaana
assuredly : 	adv.##pas&nbsp;/&nbsp;yaqiinan
assuringly : 	adv.##tayaqqun key saath&nbsp;/&nbsp;zimmah daari sey
asterisk : 	n.##sitaarah
astern : 		n.##aqab meyn&nbsp;/&nbsp;piichhey
asthma : 		n.##damah(m.)&nbsp;/&nbsp;Habs e dam(m.)
astonish : 	v.t.##Haerat meyn Daalana
astonished : 	a.##mabhuut
astonishing : 	a.##ajab&nbsp;/&nbsp;taajjub KHeyz
astonishment : 	n.##achanbha&nbsp;/&nbsp;Haeraani&nbsp;/&nbsp;Haerat&nbsp;/&nbsp;taajjub
astounded : 	a.##Haerat zadah
astounding : 	a.##Haerat kun
astray : 		n.##gum raah
astrict : 	v.t.##dabaana&nbsp;/&nbsp;paa bandi lagaana&nbsp;/&nbsp;qabz karna
astringent : 	a.##qaabiz
astrologer : 	n.##jotiSHi&nbsp;/&nbsp;najuumi&nbsp;/&nbsp;sitaarah SHinaas
astrology : 	n.##jotiSH
astronaut : 	n.##faza naward&nbsp;/&nbsp;KHala naward(m.)
astronomy : 	n.##hae'iyat&nbsp;/&nbsp;ilm ul nujuum
astute : 		a.##chaalaak&nbsp;/&nbsp;Zarf
asunder : 	a.##alaaHedah&nbsp;/&nbsp;juda
asylum : 		n.##daar ul amaan&nbsp;/&nbsp;panaah&nbsp;/&nbsp;Thikaana
asylum(lunatic) : n.##paagal KHaanah
at : 		prep.##bar&nbsp;/&nbsp;key&nbsp;/&nbsp;paas&nbsp;/&nbsp;par&nbsp;/&nbsp;sey&nbsp;/&nbsp;samey
at ease : 	a.##faariGH
at last : 		aaKHir kaar
at once : 	adv.##chaT&nbsp;/&nbsp;fauran
atavistic : 	a.##jaddi kirdaar
atheism : 	n.##ilHaad
atheist : 	n.##dahriyah(m.)&nbsp;/&nbsp;mulHid(m.)&nbsp;/&nbsp;munkir(m.)
athwart : 	a.##aaRi&nbsp;/&nbsp;beynDa
atmosphere : 	n.##feza&nbsp;/&nbsp;hawa&nbsp;/&nbsp;maaHol
atom : 		n.##jauhar&nbsp;/&nbsp;SHammah&nbsp;/&nbsp;zarrah
atomic : 		a.##jauhari&nbsp;/&nbsp;zarri
atomic energy : 	a.##jauhari tawaanaa'i
atomic weight : 	n.##wazan e zarri
atonal : 		n.##naa mauzuun
atone : 		v.i.##kaffaarah deyna&nbsp;/&nbsp;ham aahang karna&nbsp;/&nbsp;mutma'in karna
atonement : 	n.##islaaH&nbsp;/&nbsp;kaffaarah&nbsp;/&nbsp;safaa'i
atonic : 		a.##bey quuwat&nbsp;/&nbsp;bey sada&nbsp;/&nbsp;bey takiyah&nbsp;/&nbsp;sust
atony : 		n.##adam e itteka&nbsp;/&nbsp;susti&nbsp;/&nbsp;zof
atremble : 	a.##kap kapaata hu'a&nbsp;/&nbsp;larazta hu'a
attach : 		v.t.##aTkaana&nbsp;/&nbsp;joRna&nbsp;/&nbsp;lagaana&nbsp;/&nbsp;natthi karna&nbsp;/&nbsp;peywast karna&nbsp;/&nbsp;uljhaana
attach : 		v.i.##juRna
attached : 	a.##juRa&nbsp;/&nbsp;laaHiq&nbsp;/&nbsp;maanuus&nbsp;/&nbsp;mutaalliqah&nbsp;/&nbsp;munsalikah&nbsp;/&nbsp;pachchi&nbsp;/&nbsp;puKHtah&nbsp;/&nbsp;SHaamil&nbsp;/&nbsp;waa bastah
(to be)attached : 	lagna
attachment : 	n.##aqiidat&nbsp;/&nbsp;dil lagi&nbsp;/&nbsp;girwiidgi&nbsp;/&nbsp;laag&nbsp;/&nbsp;lagaa'o&nbsp;/&nbsp;lau&nbsp;/&nbsp;piit&nbsp;/&nbsp;taalluq&nbsp;/&nbsp;yaar aanah&nbsp;/&nbsp;uns
attack : 		v.t.##chhaapa maarna&nbsp;/&nbsp;DapaTna&nbsp;/&nbsp;dhaawa karna&nbsp;/&nbsp;Hamlah karna&nbsp;/&nbsp;lapakna&nbsp;/&nbsp;pil paRna&nbsp;/&nbsp;TuuT paRna&nbsp;/&nbsp;yuuriSH karna
attack : 		n.##chhaapa&nbsp;/&nbsp;chaRhaa'i&nbsp;/&nbsp;Hamlah(m.)&nbsp;/&nbsp;Harbah(m.)&nbsp;/&nbsp;waar(m.)&nbsp;/&nbsp;yuuriSH(f.)
attain : 		v.i.##Husuul karna&nbsp;/&nbsp;pahonchna
attaining : 	a.##faa'ez
attainment : 	n.##hunar(m.)&nbsp;/&nbsp;Husuul(m.)&nbsp;/&nbsp;mablaGH(m.)
attempt : 	v.t.##koSHiSH karna&nbsp;/&nbsp;qasd karna
attempt : 	n.##koSHiSH&nbsp;/&nbsp;qasd&nbsp;/&nbsp;sai  
attendance : 	a.##Haaziri(f.)&nbsp;/&nbsp;Huzuuri(f.)
(in)attendance : 	a.##Haazir
attendant : 	n.##Haazir&nbsp;/&nbsp;KHaadim&nbsp;/&nbsp;mulaazim
attending : 	n.##SHanwaa'i
attention : 	n.##dhiyaan&nbsp;/&nbsp;tawajjoh
(close)attention : n.##iltifaat&nbsp;/&nbsp;GHaur&nbsp;/&nbsp;nigaah&nbsp;/&nbsp;tawajjoh
attenuate : 	v.t.##patla karna
attenuate : 	v.i.##dubla hona
attest : 		v.t.##SHahaadat deyna&nbsp;/&nbsp;tasdiiq karna
attestation : 	n.##isbaat(m.)&nbsp;/&nbsp;SHahaadat(f.)&nbsp;/&nbsp;tasdiiq(f.)&nbsp;/&nbsp;tausiiq(f.)
attire : 		n.##lebaas
attired : 	a.##malbuus
attitude : 	n.##rawiyyah(m.)
attitudinal : 	a.##rawaiyyaati
attorney : 	n.##kaar kun(m.)&nbsp;/&nbsp;muKHtaar(m.)&nbsp;/&nbsp;wakiil(m.)
(power of)attorney : n.##muKHtaar naamah
attorneyship : 	n.##wakaalat
attract : 	v.t.##Dorey Daalna
attracted : 	a.##girwiidah
(to be)attracted : a.##khichna
attraction : 	n.##aab o rang(m.)&nbsp;/&nbsp;jaazbiyat(f.)&nbsp;/&nbsp;kaSHiSH(f.)
attractive : 	a.##dil band&nbsp;/&nbsp;dil kaSH&nbsp;/&nbsp;Hasiin&nbsp;/&nbsp;jaazib
attractiveness : 	n.##dil kaSHi&nbsp;/&nbsp;Husn
attractor : 	n.##jaalib(m.)&nbsp;/&nbsp;jaazib(m.)&nbsp;/&nbsp;kaSHiSH daar(m.)
attribute : 	v.t.##maeHmuul karna
attribute : 	n.##KHaasiyat(f.)&nbsp;/&nbsp;sifat(f.)&nbsp;/&nbsp;wasf(m.)
attrition : 	n.##ghissa(m.)
attritus : 	n.##farsuudah
attune : 		v.t.##aawaaz milaana&nbsp;/&nbsp;ham aahang karna&nbsp;/&nbsp;la'ey milaana&nbsp;/&nbsp;mutaabiq karna&nbsp;/&nbsp;sur milaana
attuned : 	a.##ham aahang&nbsp;/&nbsp;mutaabiq
atypical : 	a.##bey namuunah&nbsp;/&nbsp;bey qaa'edah
au contraire : 		is key barKHelaaf
auberge : 	n.##musaafir KHaanah&nbsp;/&nbsp;saraa'ey
aubergine : 	n.##baengan(m.)
auction : 	n.##niilaam(m.)
auctioneer : 	n.##dallaal(m.)&nbsp;/&nbsp;niilaam karney waala(m.)
audacious : 	a.##bey baak&nbsp;/&nbsp;gustaaKH&nbsp;/&nbsp;jasuur
audaciously : 	adv.##gustaaKHi sey&nbsp;/&nbsp;jasaarat sey
audacity : 	n.##DhiTaa'i(f.)&nbsp;/&nbsp;gustaaKHi(f.)&nbsp;/&nbsp;jasaarat(f.)
audibility : 	n.##samaaat paziiri(f.)&nbsp;/&nbsp;sunaa'i deyna
audience : 	n.##Haazriin(m.)&nbsp;/&nbsp;Huzuuri(f.)&nbsp;/&nbsp;paziiraa'i(f.)&nbsp;/&nbsp;saame(m.)&nbsp;/&nbsp;tamaaSHaa'i(m.)
audition : 	n.##saamiah(m.)
auditory : 	a.##sami
augment : 	v.t.##baRa karna&nbsp;/&nbsp;ezaafah karna&nbsp;/&nbsp;phaelaana&nbsp;/&nbsp;phulaana
augment : 	n.##ezaafah
augmented : 	a.##maziid
augumentation : 	n.##afzaa'iSH
augur : 		n.##faal go&nbsp;/&nbsp;kaahin&nbsp;/&nbsp;najuumi
augur : 		v.t.##faal nikaalna&nbsp;/&nbsp;peySH go'i karna&nbsp;/&nbsp;qayaas karna
augury : 		n.##faal(m.)&nbsp;/&nbsp;SHaguun(m.)
august : 		a.##humaayun
aunt : 		n.##chachi&nbsp;/&nbsp;KHaalah&nbsp;/&nbsp;mumaani&nbsp;/&nbsp;phuphi
aura : 		n.##haalah
aurora : 		n.##SHafaq
auspicious : 	a.##farruKH&nbsp;/&nbsp;mubaarak&nbsp;/&nbsp;saaz gaar&nbsp;/&nbsp;saiid
auspiciousness :  n.##barkat
austere : 	a.##karaKHt&nbsp;/&nbsp;saarim
austerity : 	n.##baeraagi&nbsp;/&nbsp;sariim
autarchy : 	n.##istebdaadiyat(f.)&nbsp;/&nbsp;mutlaq ul inaani
authentic : 	a.##asli&nbsp;/&nbsp;jaa'ez&nbsp;/&nbsp;mustanad&nbsp;/&nbsp;pakka&nbsp;/&nbsp;par waan(m.)&nbsp;/&nbsp;qaabil e etebaar
authenticated : 	a.##mustanad
authentication : 	n.##sadaaqat naamah
authenticity : 	n.##sadaaqat
author : 		n.##baani&nbsp;/&nbsp;mu'allif&nbsp;/&nbsp;musannif
authorial : 	a.##musannifaanah
authorise : 	v.t.##eKHteyaar deyna
authorised : 	a.##jaa'ez&nbsp;/&nbsp;majaaz
authoritarian : 	a.##aamiraanah&nbsp;/&nbsp;istebdaadaanah
authoritarianism : n.##aamiriyat pasandi&nbsp;/&nbsp;isebdaadiyat
authority : 	n.##daab&nbsp;/&nbsp;eKHteyaar&nbsp;/&nbsp;haath&nbsp;/&nbsp;heykRi&nbsp;/&nbsp;Hukuumat&nbsp;/&nbsp;majaal&nbsp;/&nbsp;mujtahid&nbsp;/&nbsp;qaabu&nbsp;/&nbsp;qudrat&nbsp;/&nbsp;zor
authoritative : 	a.##Haakimaanah
authoritatively : adv.##Haakimaanah&nbsp;/&nbsp;muhaqqiqaanah
autobiography : 	n.##aap biiti&nbsp;/&nbsp;zaati sawaaneH imri
autocracy : 	n.##mutlaq ul inaani&nbsp;/&nbsp;SHaKHsi Hukuumat
autocrat : 	n.##aamir(m.)&nbsp;/&nbsp;Haakim e mutlaq
autograph : 	n.##dast KHat
automate : 	v.t.##KHud kaar kar leyna
automatic : 	a.##KHud rau
automatically : 	adv.##KHud ba KHud
automation : 	n.##KHud kaari
autonomous : 	a.##aazaad&nbsp;/&nbsp;KHud muKHtaar
autonomy : 	n.##aazaadi
automobile : 	n.##gaaRi
autumn : 		n.##KHariif&nbsp;/&nbsp;KHezaan&nbsp;/&nbsp;pat jhaR
autumnal : 	a.##KHariifi
auxiliary : 	n.##madad gaar&nbsp;/&nbsp;kumak
available : 	a.##dast yaab&nbsp;/&nbsp;maujuud
avalanche : 	n.##barfaani tuufaan
avarice : 	n.##aaz&nbsp;/&nbsp;Hirs&nbsp;/&nbsp;laalach&nbsp;/&nbsp;tama
avaricious : 	a.##baKHiil&nbsp;/&nbsp;Hariis&nbsp;/&nbsp;laalchi
avatar : 		n.##autaar
avenge : 		v.t.##inteqaam leyna
avenger : 	n.##inteqaam leyney waala
avenue : 		n.##KHayaabaan&nbsp;/&nbsp;rastah
aver : 		v.t.##tasdiiq karna
average : 	a.##mutawassit&nbsp;/&nbsp;wast&nbsp;/&nbsp;wasta
averse : 		a.##GHaer muSHtaaq&nbsp;/&nbsp;na talab&nbsp;/&nbsp;naafir
aversion : 	n.##karaahat&nbsp;/&nbsp;naa raGHbati
avert : 		v.t.##baaz rakhna&nbsp;/&nbsp;dafa karna&nbsp;/&nbsp;rokna&nbsp;/&nbsp;Tokna
aviation : 	n.##hawa baazi(f.)
avid : 		a.##Hariis&nbsp;/&nbsp;muSHtaaq
avital : 		a.##aabaa'i&nbsp;/&nbsp;jaddi
avocation : 	n.##maSHGHalah
avoid : 		v.t.##aaj kal karna&nbsp;/&nbsp;chhoRna&nbsp;/&nbsp;jaan bachaana&nbsp;/&nbsp;kanni kaaTna&nbsp;/&nbsp;katraana&nbsp;/&nbsp;khichna&nbsp;/&nbsp;nazar churaana&nbsp;/&nbsp;paehlu tihi karna&nbsp;/&nbsp;panaah maangna
avoid : 		v.i.##haT jaana
avoidance : 	n.##parheyz
avouch : 		v.t.##tasdiiq karna&nbsp;/&nbsp;zamaanat deyna
avow : 		v.t.##elaan karna&nbsp;/&nbsp;tasdiiq karna&nbsp;/&nbsp;tasliim karna
avowal : 		n.##qubuul
avowed : 		n.##maSH huur&nbsp;/&nbsp;qubuul SHudah
avulse : 		v.t.##nochna
avuncular : 	a.##chach zaad&nbsp;/&nbsp;maamuun zaad
await : 		v.t.##intezaar karna
awake : 		v.t.##bey daar karna&nbsp;/&nbsp;hoSH yaar karna&nbsp;/&nbsp;jagaana
awake : 		a.##bey daar&nbsp;/&nbsp;hoSH yaar&nbsp;/&nbsp;jaaga hu'a
awaken : 		v.t.##jagaana&nbsp;/&nbsp;KHabar daar karna&nbsp;/&nbsp;tawajjoh dilaana
awakening : 	n.##bey daari(f.)
award : 		v.t.##deyna&nbsp;/&nbsp;faeslah karna
award : 		n.##inaam&nbsp;/&nbsp;faeslah
aware : 		a.##aagaah&nbsp;/&nbsp;baa KHabar&nbsp;/&nbsp;baa SHauur&nbsp;/&nbsp;waaqif
awareness : 	n.##KHabar(f.)&nbsp;/&nbsp;waaqfiyat(f.)
away : 		adv.##alaaHedah&nbsp;/&nbsp;alag&nbsp;/&nbsp;duur&nbsp;/&nbsp;parey
awe : 		n.##daab&nbsp;/&nbsp;dab dabah&nbsp;/&nbsp;Dar&nbsp;/&nbsp;dhaak&nbsp;/&nbsp;rob&nbsp;/&nbsp;sitwat
awe struck : 	a.##haebat&nbsp;/&nbsp;waeHSHat zadah
awe : 		n.##haebat&nbsp;/&nbsp;Haerat&nbsp;/&nbsp;KHauf&nbsp;/&nbsp;salaabat
awesome : 	a.##pur jalaal&nbsp;/&nbsp;rob daar
awful : 		a.##haebat naak&nbsp;/&nbsp;Haerat kun
awfulness : 	n.##jalaal(m.)
awhile : 		adv.##zara deyr key li'ey
awkward : 	a.##bey Dhab&nbsp;/&nbsp;bhonDa&nbsp;/&nbsp;SHarmindah
awl : 		n.##aar
awning : 		n.##chajja(m.)
awry : 		a.##bal daar&nbsp;/&nbsp;biika&nbsp;/&nbsp;GHalat&nbsp;/&nbsp;munHarif&nbsp;/&nbsp;TeyRha&nbsp;/&nbsp;ulTa
axe : 		n.##kulHaaRi
axial : 		a.##meHwari
axiom : 		n.##farziyah
axis : 		n.##dhura(m.)&nbsp;/&nbsp;meHwar(m.)
axle : 		n.##dhura&nbsp;/&nbsp;meHwar
ay&nbsp;/&nbsp;aye : 		adv.##haan&nbsp;/&nbsp;zaruur
aye : 		adv.##hameySHah
azure : 		a.##aasmaani&nbsp;/&nbsp;laajward&nbsp;/&nbsp;niilguun
bullying : 	n.##DapaT&nbsp;/&nbsp;dhauns
bulrush : 	n.##naagar motha(m.)
bulwark : 	n.##fasiil(f.)
bum : 		v.i.##mun munaana
bum : 		n.##muft KHorah&nbsp;/&nbsp;nigoRa&nbsp;/&nbsp;nikhaTTu&nbsp;/&nbsp;paliid&nbsp;/&nbsp;qaabil e nafrat	
bum : 		v.i.##muft KHori karna		
bumbaze : 	n.##dhoka deyna&nbsp;/&nbsp;palaT deyna
bumble : 		n.##gaR baR&nbsp;/&nbsp;intiSHaar
bumble : 		v.t.##bhin bhinaana
bumbling : 	a.##bhin bhinaata
bump : 		v.i.##dhachka lagna
bump : 		v.t.##dhachka lagaana
bumper : 		a.##waafir
bumpy : 		a.##naa ham waar
bumptious : 	a.##jasuur&nbsp;/&nbsp;maGHruur
bunch : 		n.##gaanTh&nbsp;/&nbsp;garoh&nbsp;/&nbsp;guchha&nbsp;/&nbsp;KHoSHah&nbsp;/&nbsp;pinDa
bunch : 		v.t.##guchcha banaana&nbsp;/&nbsp;jama karna
bundle : 		n.##gaDDi&nbsp;/&nbsp;gaTTha&nbsp;/&nbsp;muTTha&nbsp;/&nbsp;poTli(f.)&nbsp;/&nbsp;pulanda&nbsp;/&nbsp;puSHtaara(m.)
bung : 		n.##piipey ki Daat
bungle : 		v.t.##ghapla karna
bungled :         a.      bigaRna
bungler : 	n.##anaaRi
bunk : 		n.##chamak damak&nbsp;/&nbsp;numaa'iSH&nbsp;/&nbsp;zaahir daari
bunk : 		v.t.##dhoka deyna
bunker : 		n.##zeyr e zamiin panaah gaah
bunkum : 		n.##bakwaas&nbsp;/&nbsp;Dhakosla&nbsp;/&nbsp;KHud numaa'i
bunt : 		v.i.##dhakelna&nbsp;/&nbsp;piichhey haTna
bunt : 		n.##dhakka
bunting : 	n.##jhanDi
burble : 		v.i.##GHar GHaraana&nbsp;/&nbsp;kuR kuRaana
burd : 		n.##bi bi&nbsp;/&nbsp;KHaatuun
burden :          n.      baar&nbsp;/&nbsp;bojh&nbsp;/&nbsp;Hamal&nbsp;/&nbsp;palla&nbsp;/&nbsp;puSHtaara(m.)&nbsp;/&nbsp;siql&nbsp;/&nbsp;siqaalat&nbsp;/&nbsp;takliif&nbsp;/&nbsp;zeyr baari
burdened : 	a.##lada hu'a&nbsp;/&nbsp;zeyr baar
burdenless : 	a.##faariGH
burdensome : 	a.##bhaari&nbsp;/&nbsp;giraan&nbsp;/&nbsp;saqiil&nbsp;/&nbsp;wazni
bureau : 		n.##daftar&nbsp;/&nbsp;daftari meyz&nbsp;/&nbsp;diiwaan
bureaucracy : 	n.##daftar SHaahi&nbsp;/&nbsp;naukar SHaahi&nbsp;/&nbsp;zaabitah parasti
bureaucrat : 	v.t.##zaabitah parast
bureaucratic formality : n. KHaanah puri
burgee : 		n.##do dum waali jhanDi(f.)
burgeon : 	n.##GHunchah&nbsp;/&nbsp;kali&nbsp;/&nbsp;SHuguufah
burgh : 		n.##qasbah&nbsp;/&nbsp;SHaher
burgundy : 	a.##arGHwaani
burial :          n.      kafan dafan&nbsp;/&nbsp;miTTi&nbsp;/&nbsp;tadfiin
buried : 		a.##madfuun
buried treasure :  n.##dafiinah(m.)
burl : 		n.##ubhaar
burlap : 		n.##TaaT(f.)
burlesque : 	n.##mazHakah KHey naql
burliness : 	n.##Hajam(m.)&nbsp;/&nbsp;jasaamat(f.)
burly : 		a.##dabang&nbsp;/&nbsp;haTTa kaTTa&nbsp;/&nbsp;moTa&nbsp;/&nbsp;ubhra hu'a
burn :            v.i.    daGH lagna&nbsp;/&nbsp;jalna&nbsp;/&nbsp;phukna
burn :            v.t.    daaGH deyna&nbsp;/&nbsp;jalaana&nbsp;/&nbsp;patangey lagaana&nbsp;/&nbsp;phuunk deyna
burn : 		n.##jalan
burnt : 		pa&nbsp;/&nbsp;t.##jala hu'a
burning :         n.      jalan&nbsp;/&nbsp;soz&nbsp;/&nbsp;garmi
bursar : 		n.##KHazaanchi
burst : 		v.t.##phaaRna&nbsp;/&nbsp;phoRna
burst : 		v.i.##bhaRaknakhilna&nbsp;/&nbsp;phaTna&nbsp;/&nbsp;phuuTna
bury : 		v.t.##dafan karna&nbsp;/&nbsp;gaaRna&nbsp;/&nbsp;KHaak Daalna&nbsp;/&nbsp;miTTi deyna&nbsp;/&nbsp;supurd e KHaak karna
busboy : 		n.##"chhoTa"
bush : 		n.##ghani jhaaRi&nbsp;/&nbsp;pauda
busily : 		adv.##masruufiyat sey
business :        n.##beopaar&nbsp;/&nbsp;dhanda&nbsp;/&nbsp;kaam&nbsp;/&nbsp;kaar o baar&nbsp;/&nbsp;KHariid o faroKHt&nbsp;/&nbsp;leyn deyn&nbsp;/&nbsp;paala&nbsp;/&nbsp;roz gaar&nbsp;/&nbsp;sauda gari&nbsp;/&nbsp;tijaarat	
businesslike : 	a.##baa qaaedah&nbsp;/&nbsp;baa zaabitah	
businessman : 	n.##beopaari&nbsp;/&nbsp;kaar o baari&nbsp;/&nbsp;taajir
busk : 		v.t.##aamaadah hona&nbsp;/&nbsp;lebaah pahenna
bust : 		n.##gaat(f.)
buster : 		n.##chhoTa laRka
bustier : 	n.##angiya(f.)&nbsp;/&nbsp;choli(f.)
bustle : 		n.##dhuum&nbsp;/&nbsp;chahel pahel&nbsp;/&nbsp;gaehma gaehmi&nbsp;/&nbsp;hal chal&nbsp;/&nbsp;khalbali&nbsp;/&nbsp;maara maar
but :             adv.    sewa
but : 		prep.##albattah&nbsp;/&nbsp;balkeh&nbsp;/&nbsp;GHaer&nbsp;/&nbsp;leykin&nbsp;/&nbsp;magar(conj.)&nbsp;/&nbsp;par&nbsp;/&nbsp;phir&nbsp;/&nbsp;taa ham
Butea : 		n.##Dhaak
butt : 		n.##hadaf
butter : 		n.##makkhan(m.)&nbsp;/&nbsp;maskah(m.)
butter : 		v.t.##chupaRna
